Null,Object_id,Hex,Color name,Size
313,10851,#9c9c9c,silver,5
314,10852,#c4c0ae,black,34
315,10853,#141414,black,4
316,10858,#7dadb2,darkolivegreen,14
317,10859,#67552a,darkkhaki,16
318,10860,#3a3a3a,grey,10
319,10861,#282828,black,16
320,10862,#838383,darkgrey,4
321,10863,#5c5c5c,dimgrey,3
322,10864,#3f413c,darkslategrey,28
323,10866,#363636,black,17
324,10867,#5f5f5f,black,8
325,10874,#593d19,grey,6
326,10878,#a59272,dimgrey,12
327,10879,#90724d,sienna,9
328,10880,#b39d73,darkslategrey,20
329,10890,#0d0d0d,black,1
330,10895,#5b5b5b,darkgrey,12
331,10905,#434343,black,8
332,10919,#c8b998,dimgrey,6
333,10922,#545454,black,3
334,10923,#b2b2b2,lightslategrey,2
335,10924,#505050,darkslategrey,14
336,10925,#623815,black,3
337,10934,#aaa69e,dimgrey,20
338,10944,#c5b792,tan,12
339,10945,#6e3e1a,sienna,2
340,10946,#f0dfad,rosybrown,2
341,10947,#854e0a,saddlebrown,2
342,10966,#18171d,black,31
343,10967,#9d8c55,black,13
344,10975,#282828,darkslategrey,2
345,10976,#c2ab72,darkkhaki,18
346,14472,#36415d,rosybrown,1
347,20129,#3c2416,saddlebrown,14
348,10984,#636363,black,17
349,10988,#0d0d0d,black,1
350,10989,#727272,darkgrey,36
351,10990,#292929,black,26
352,10991,#a6a6a6,darkslategrey,21
353,10993,#c2984c,peru,1
354,10994,#412e1e,sienna,3
355,10995,#b0842e,black,1
356,10997,#826c4a,rosybrown,3
357,11006,#3a3510,grey,3
358,11007,#222222,grey,3
359,11008,#cdcdcd,darkslategrey,10
360,13454,#6d5b40,darkolivegreen,13
361,11011,#54451e,darkolivegreen,9
362,11012,#787878,darkslategrey,11
363,11020,#9b9a86,darkolivegreen,9
364,13368,#373c1f,black,2
365,11042,#634f38,dimgrey,5
366,11050,#bf9768,darkolivegreen,1
367,11051,#917f6b,rosybrown,2
368,11052,#3d3420,darkolivegreen,10
369,11053,#cbc7ac,olivedrab,4
370,11054,#1b1f22,black,41
371,11055,#755527,darkolivegreen,28
372,11057,#a08b6c,saddlebrown,40
373,11058,#293031,darkslategrey,22
374,11062,#978774,darkslategrey,11
375,11079,#5a452f,black,1
376,11080,#75541a,darkgoldenrod,16
377,11081,#5b3e0f,black,12
378,11082,#142f2e,dimgrey,13
379,12978,#71756c,rosybrown,9
380,11083,#b9b0ac,grey,7
381,11101,#594636,dimgrey,11
382,11103,#1b1612,peru,1
383,11104,#31190d,sienna,27
384,11105,#515151,darkslategrey,7
385,11107,#4f4f4f,darkgrey,10
386,11111,#2f2e26,darkolivegreen,14
387,11112,#b57421,dimgrey,1
388,11113,#f4ece7,lightslategrey,25
389,11116,#6f6f4f,dimgrey,3
390,11117,#7c4f1e,black,7
391,11122,#8b8772,darkslategrey,2
392,11123,#6a5820,darkolivegreen,7
393,11126,#221d25,darkgrey,12
394,11127,#747363,black,9
395,11130,#000101,black,2
396,11133,#c3d6c4,gainsboro,2
397,11134,#835a2b,lightslategrey,4
398,11135,#e4e4e4,darkslategrey,7
399,11136,#487377,dimgrey,15
400,11137,#66676e,lightgrey,22
401,11140,#937642,darkseagreen,2
402,11141,#725d4e,darkolivegreen,3
403,11142,#7b8f88,black,7
404,11145,#8b540c,black,6
405,11159,#2b201b,black,17
406,11160,#856b40,sienna,9
407,11168,#383440,grey,11
408,11170,#d0b787,grey,5
409,11173,#8d8d8d,dimgrey,16
410,11174,#9d805c,burlywood,29
411,11175,#756744,darkolivegreen,17
412,11176,#b3b3b3,grey,7
413,11177,#28180c,sienna,13
414,11179,#95412d,darkslategrey,7
415,11180,#2a2532,darkslategrey,21
416,11181,#acacac,dimgrey,31
