,Object_id,Object_type,Title,Date_started,Date_finished,Medium,Classification,Met_link,Artist_id,Dept_id
5158,489012,Painting,Gulliver (Portrait of the Artist),1956,1956,Oil and tempera on wood,Paintings,http://www.metmuseum.org/art/collection/search/489012,2051,4
5159,489020,Painting,Gabrielle Soëne,1919,1919,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489020,2052,4
5160,489062,Painting,Fairfield Osborn,1892,1959,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489062,2053,4
5161,489100,Painting,Table by a Window,1917,1917,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489100,2054,4
5162,491857,Painting,Circus Equestrienne,1924,1924,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/491857,2054,4
5163,489126,Painting,Self-Portrait,1940,1940,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489126,2055,4
5164,489127,Painting,Canadian Soldier,1917,1917,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489127,2055,4
5165,489143,Painting,Sean O'Casey,1926,1926,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489143,2055,4
5166,489164,Painting,Objects on a Table,1920,1921,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489164,2056,4
5167,489227,Painting,Portrait of a Woman,1878,1962,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489227,2057,4
5168,489228,Painting,Portrait of a Woman,1878,1962,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489228,2057,4
5169,489335,Painting,Flower Market,1950,1950,Oil on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/489335,2058,4
5170,489343,Painting,Group of Trees,1953,1953,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489343,2059,4
5171,489346,Painting,"Little Falls, New Jersey",1917,1917,Oil on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/489346,2060,4
5172,489348,Painting,Street Scene in Bermuda,1917,1917,Oil and watercolor on cardboard,Paintings,http://www.metmuseum.org/art/collection/search/489348,2061,4
5173,489359,Painting,Young Girl,1926,1926,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489359,2062,4
5174,489504,Painting,Figures in the Forest,1908,1908,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489504,2063,4
5175,489537,Painting,Corner Bedroom,1966,1966,Egg tempera on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/489537,2064,4
5176,489541,Painting,Model Dressing,1912,1912,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489541,2065,4
5177,489552,Painting,"Flowering Peach Trees, Provence",1922,1922,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489552,2067,4
5178,489553,Painting,"Landscape at Saint-Jeannet, Provence",1922,1922,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489553,2067,4
5179,489554,Painting,The Port of Honfleur at Night,1901,1901,"Oil on cardboard, mounted on wood",Paintings,http://www.metmuseum.org/art/collection/search/489554,2067,4
5180,489555,Painting,Still Life with Flowers,1925,1925,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489555,2067,4
5181,489598,Painting,Still Life with Apples and Glass of Water,1921,1921,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489598,2067,4
5182,489624,Painting,Vaudeville Act (Quappi),1934,1937,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489624,2068,4
5183,489625,Painting,The Beginning,1946,1949,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489625,2068,4
5184,644043,Painting,Self-Portrait in Blue Jacket,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644043,2068,4
5185,644056,Painting,Self-Portrait with a Cigarette,1923,1923,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644056,2068,4
5186,644059,Painting,Self Portrait in Front of Red Curtain,1923,1923,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644059,2068,4
5187,644060,Painting,Self-Portrait with White Hat,1926,1926,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644060,2068,4
5188,644061,Painting,Self-Portrait with Horn,1938,1938,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644061,2068,4
5189,644071,Painting,Family Picture,1920,1920,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644071,2068,4
